KEY_CODE,人口総数,小地域,男,女,世帯総数
271440270,1866,堺市西区浜寺諏訪森町中,881,985,810
27144027001,1154,堺市西区浜寺諏訪森町中１丁,552,602,483
27144027002,362,堺市西区浜寺諏訪森町中２丁,164,198,153
27144027003,350,堺市西区浜寺諏訪森町中３丁,165,185,174
271440280,3708,堺市西区浜寺諏訪森町西,1775,1933,1617
27144028001,919,堺市西区浜寺諏訪森町西１丁,451,468,392
27144028002,1049,堺市西区浜寺諏訪森町西２丁,477,572,463
27144028003,981,堺市西区浜寺諏訪森町西３丁,461,520,443
27144028004,759,堺市西区浜寺諏訪森町西４丁,386,373,319
271440290,2172,堺市西区浜寺諏訪森町東,976,1196,874
27144029001,809,堺市西区浜寺諏訪森町東１丁,369,440,334
27144029002,784,堺市西区浜寺諏訪森町東２丁,356,428,311
27144029003,579,堺市西区浜寺諏訪森町東３丁,251,328,229
271440300,4623,堺市西区浜寺船尾町西,2214,2409,2036
27144030001,724,堺市西区浜寺船尾町西１丁,361,363,326
27144030002,1551,堺市西区浜寺船尾町西２丁,756,795,682
27144030003,683,堺市西区浜寺船尾町西３丁,324,359,326
27144030004,1089,堺市西区浜寺船尾町西４丁,506,583,457
27144030005,576,堺市西区浜寺船尾町西５丁,267,309,245
271440310,1359,堺市西区浜寺船尾町東,652,707,465
27144031001,249,堺市西区浜寺船尾町東１丁,121,128,71
27144031002,148,堺市西区浜寺船尾町東２丁,74,74,54
27144031003,506,堺市西区浜寺船尾町東３丁,245,261,171
27144031004,456,堺市西区浜寺船尾町東４丁,212,244,169
271440320,2864,堺市西区浜寺南町,1356,1508,1028
27144032001,1118,堺市西区浜寺南町１丁,542,576,375
27144032002,1226,堺市西区浜寺南町２丁,573,653,431
27144032003,520,堺市西区浜寺南町３丁,241,279,222
271440330,4501,堺市西区浜寺元町,2218,2283,1771
27144033001,809,堺市西区浜寺元町１丁,394,415,306
27144033002,269,堺市西区浜寺元町２丁,136,133,104
27144033003,811,堺市西区浜寺元町３丁,434,377,353
27144033004,492,堺市西区浜寺元町４丁,229,263,190
27144033005,1361,堺市西区浜寺元町５丁,650,711,506
27144033006,759,堺市西区浜寺元町６丁,375,384,312
271440340,1133,堺市西区原田,549,584,390
271440360,4561,堺市西区菱木,2307,2254,1500
27144036001,1345,堺市西区菱木１丁,644,701,412
27144036002,1192,堺市西区菱木２丁,626,566,417
27144036003,1176,堺市西区菱木３丁,602,574,402
27144036004,848,堺市西区菱木４丁,435,413,269
271440370,2293,堺市西区平岡町,1088,1205,881
271440380,2844,堺市西区北条町,1395,1449,1144
27144038001,1726,堺市西区北条町１丁,856,870,715
27144038002,1118,堺市西区北条町２丁,539,579,429
271440390,2875,堺市西区堀上緑町,1328,1547,1278
27144039001,656,堺市西区堀上緑町１丁,302,354,309
27144039002,1296,堺市西区堀上緑町２丁,597,699,498
27144039003,923,堺市西区堀上緑町３丁,429,494,471
271440400,717,堺市西区宮下町,341,376,290
271440410,3042,堺市西区山田,1497,1545,1051
27144041001,1582,堺市西区山田１丁,803,779,504
27144041002,753,堺市西区山田２丁,341,412,313
27144041003,547,堺市西区山田３丁,274,273,185
27144041004,160,堺市西区山田４丁,79,81,49
271449990,-,堺市西区堺泉北港,-,-,-
27145,147626,堺市南区,68799,78827,60427
271450010,7597,堺市南区赤坂台,3492,4105,3069
27145001001,1385,堺市南区赤坂台１丁,657,728,515
27145001002,527,堺市南区赤坂台２丁,234,293,206
27145001003,2122,堺市南区赤坂台３丁,932,1190,976
27145001004,817,堺市南区赤坂台４丁,387,430,290
